nm,baseline,100,90,80,70,60,50,40,30,20,0
293,0.441,0.482,0.478,0.516,0.526,0.506,0.492,0.52,0.483,0.485,0.458
294,0.415,0.453,0.456,0.489,0.498,0.478,0.466,0.495,0.457,0.458,0.433
295,0.391,0.427,0.429,0.463,0.473,0.454,0.442,0.469,0.433,0.434,0.407
296,0.368,0.404,0.406,0.439,0.45,0.429,0.419,0.444,0.41,0.411,0.384
297,0.349,0.384,0.386,0.418,0.428,0.409,0.4,0.423,0.389,0.391,0.363
298,0.331,0.367,0.368,0.4,0.411,0.39,0.38,0.404,0.371,0.372,0.344
299,0.314,0.347,0.351,0.381,0.392,0.372,0.362,0.386,0.352,0.355,0.324
300,0.294,0.329,0.332,0.361,0.373,0.351,0.345,0.365,0.334,0.335,0.307
301,0.278,0.312,0.315,0.343,0.355,0.334,0.327,0.349,0.317,0.319,0.29
302,0.261,0.294,0.299,0.328,0.339,0.318,0.31,0.331,0.301,0.302,0.274
303,0.247,0.281,0.286,0.314,0.323,0.303,0.296,0.315,0.286,0.288,0.257
304,0.233,0.264,0.271,0.298,0.308,0.287,0.281,0.3,0.271,0.273,0.242
305,0.219,0.25,0.257,0.284,0.295,0.273,0.268,0.285,0.257,0.259,0.228
306,0.207,0.238,0.244,0.272,0.281,0.26,0.255,0.273,0.245,0.245,0.215
307,0.196,0.226,0.233,0.259,0.27,0.248,0.243,0.259,0.233,0.234,0.203
308,0.185,0.216,0.223,0.249,0.258,0.237,0.232,0.249,0.222,0.223,0.193
309,0.175,0.206,0.213,0.238,0.248,0.226,0.222,0.237,0.212,0.213,0.182
310,0.167,0.196,0.204,0.23,0.238,0.217,0.213,0.229,0.203,0.204,0.173
311,0.159,0.189,0.196,0.221,0.231,0.209,0.205,0.22,0.194,0.196,0.164
312,0.151,0.179,0.189,0.213,0.223,0.2,0.196,0.211,0.187,0.187,0.157
313,0.143,0.172,0.18,0.205,0.214,0.192,0.189,0.203,0.178,0.179,0.149
314,0.137,0.166,0.174,0.198,0.207,0.184,0.181,0.195,0.171,0.173,0.142
315,0.131,0.159,0.168,0.192,0.2,0.178,0.175,0.188,0.165,0.166,0.135
316,0.125,0.153,0.162,0.186,0.195,0.172,0.17,0.183,0.159,0.161,0.13
317,0.119,0.147,0.157,0.18,0.188,0.166,0.163,0.176,0.153,0.154,0.123
318,0.114,0.141,0.15,0.174,0.182,0.159,0.157,0.17,0.146,0.148,0.117
319,0.108,0.136,0.145,0.168,0.177,0.154,0.152,0.164,0.141,0.143,0.112
320,0.105,0.132,0.141,0.164,0.173,0.15,0.148,0.16,0.138,0.139,0.108
321,0.1,0.127,0.137,0.159,0.168,0.145,0.143,0.155,0.133,0.134,0.104
322,0.096,0.123,0.132,0.154,0.163,0.14,0.138,0.15,0.128,0.129,0.099
323,0.092,0.118,0.128,0.15,0.158,0.135,0.134,0.145,0.124,0.125,0.095
324,0.088,0.115,0.124,0.146,0.154,0.132,0.13,0.141,0.12,0.121,0.091
325,0.086,0.111,0.121,0.142,0.151,0.128,0.127,0.137,0.117,0.118,0.088
326,0.083,0.108,0.118,0.139,0.148,0.125,0.124,0.134,0.114,0.115,0.085
327,0.08,0.105,0.115,0.136,0.144,0.122,0.121,0.131,0.111,0.112,0.082
328,0.077,0.102,0.112,0.133,0.141,0.119,0.118,0.128,0.108,0.109,0.079
329,0.075,0.1,0.109,0.13,0.138,0.116,0.115,0.125,0.105,0.106,0.077
330,0.073,0.097,0.106,0.127,0.135,0.113,0.112,0.122,0.103,0.104,0.075
331,0.07,0.094,0.103,0.124,0.132,0.11,0.11,0.119,0.1,0.101,0.072
332,0.068,0.092,0.101,0.122,0.13,0.108,0.107,0.117,0.098,0.099,0.07
333,0.067,0.089,0.099,0.12,0.127,0.105,0.105,0.115,0.096,0.097,0.068
334,0.065,0.088,0.097,0.117,0.125,0.103,0.103,0.113,0.094,0.095,0.066
335,0.064,0.086,0.095,0.116,0.123,0.102,0.101,0.111,0.092,0.093,0.065
336,0.062,0.085,0.094,0.114,0.122,0.1,0.1,0.109,0.091,0.091,0.064
337,0.06,0.083,0.092,0.112,0.12,0.098,0.098,0.107,0.089,0.09,0.062
338,0.059,0.081,0.09,0.111,0.118,0.097,0.096,0.105,0.088,0.088,0.061
339,0.058,0.08,0.089,0.109,0.117,0.095,0.095,0.104,0.086,0.087,0.059
340,0.057,0.078,0.087,0.107,0.115,0.094,0.093,0.102,0.084,0.085,0.058
341,0.056,0.077,0.086,0.106,0.114,0.092,0.092,0.101,0.083,0.084,0.057
342,0.055,0.076,0.085,0.105,0.112,0.091,0.091,0.099,0.082,0.083,0.056
343,0.054,0.075,0.084,0.104,0.111,0.09,0.09,0.098,0.081,0.082,0.055
344,0.053,0.074,0.084,0.103,0.111,0.089,0.089,0.097,0.08,0.081,0.054
345,0.052,0.074,0.083,0.102,0.11,0.088,0.088,0.097,0.079,0.08,0.053
346,0.052,0.073,0.082,0.102,0.109,0.087,0.087,0.095,0.078,0.079,0.053
347,0.051,0.073,0.082,0.102,0.109,0.087,0.087,0.095,0.078,0.079,0.052
348,0.051,0.072,0.081,0.101,0.108,0.086,0.086,0.094,0.077,0.078,0.052
349,0.051,0.072,0.081,0.101,0.107,0.086,0.085,0.093,0.077,0.077,0.051
350,0.05,0.071,0.08,0.1,0.107,0.085,0.085,0.093,0.076,0.076,0.051
351,0.049,0.071,0.08,0.1,0.107,0.085,0.085,0.092,0.075,0.076,0.051
352,0.049,0.071,0.08,0.1,0.106,0.084,0.084,0.092,0.075,0.076,0.05
353,0.049,0.07,0.08,0.099,0.106,0.084,0.084,0.091,0.074,0.075,0.05
354,0.048,0.07,0.079,0.099,0.106,0.083,0.083,0.09,0.074,0.074,0.049
355,0.048,0.07,0.079,0.099,0.106,0.083,0.083,0.09,0.073,0.074,0.049
356,0.048,0.07,0.079,0.099,0.106,0.083,0.083,0.09,0.073,0.074,0.049
357,0.048,0.07,0.08,0.099,0.106,0.083,0.082,0.089,0.073,0.073,0.048
358,0.048,0.07,0.08,0.1,0.106,0.082,0.082,0.089,0.072,0.073,0.048
359,0.047,0.07,0.08,0.1,0.106,0.082,0.082,0.089,0.072,0.073,0.048
360,0.047,0.071,0.08,0.1,0.106,0.082,0.082,0.089,0.072,0.072,0.048
361,0.047,0.071,0.081,0.101,0.107,0.082,0.082,0.088,0.071,0.072,0.047
362,0.047,0.071,0.081,0.101,0.107,0.082,0.081,0.088,0.071,0.072,0.047
363,0.046,0.072,0.082,0.102,0.108,0.082,0.081,0.088,0.071,0.072,0.047
364,0.046,0.072,0.082,0.102,0.108,0.082,0.081,0.088,0.071,0.071,0.047
365,0.046,0.072,0.082,0.103,0.108,0.082,0.081,0.088,0.071,0.071,0.046
366,0.046,0.073,0.083,0.103,0.109,0.083,0.082,0.088,0.071,0.071,0.046
367,0.046,0.073,0.084,0.104,0.11,0.083,0.082,0.088,0.07,0.071,0.046
368,0.046,0.074,0.085,0.105,0.11,0.083,0.082,0.088,0.07,0.071,0.046
