idtbt_ps_100 Cycle01			idtbt_ps_80 Cycle01						idtbt_ps_60 Cycle01		
nm	A		nm	A					nm	A	
416	0.04923859		416	0.00089514	0.02521608	0.04923859			416	0.02912656	0.03019094
417	0.04760218		417	0.00036914	0.02469008	0.048211488			417	0.02806728	0.02913166
418	0.04882083		418	0.00002518	0.02434612	0.047539848			418	0.0292363	0.03030068
419	0.04890441		419	-0.00017243	0.02414851	0.047153982			419	0.02756428	0.02862866
420	0.048552		420	-0.00023678	0.02408416	0.047028328			420	0.02949663	0.03056101
421	0.04980439		421	-0.00006017	0.02426077	0.047373188			421	0.02935125	0.03041563
422	0.04884912		422	-0.00051824	0.0238027	0.04647873			422	0.02834555	0.02940993
423	0.04865777		423	-0.00063637	0.02368457	0.046248062			423	0.02818918	0.02925356
424	0.04922025		424	-0.00106068	0.02326026	0.045419526			424	0.02805293	0.02911731
425	0.04764367		425	-0.00047875	0.02384219	0.046555841			425	0.02929425	0.03035863
426	0.04615233		426	-0.00158228	0.02273866	0.044401015			426	0.02584033	0.02690471
427	0.04680066		427	-0.00163054	0.0226904	0.04430678			427	0.02713155	0.02819593
428	0.04436328		428	-0.00125238	0.02306856	0.0450452			428	0.02671814	0.02778252
429	0.04394241		429	-0.00170563	0.02261531	0.044160154			429	0.02758222	0.0286466
430	0.04285034		430	-0.00247405	0.02184689	0.042659686			430	0.02581695	0.02688133
431	0.0420894		431	-0.00180074	0.0225202	0.043974436			431	0.02610584	0.02717022
432	0.04083057		432	-0.00285549	0.02146545	0.041914861			432	0.0255027	0.02656708
433	0.03973979		433	-0.00353427	0.02078667	0.04058943			433	0.02294587	0.02401025
434	0.03757106		434	-0.00330438	0.02101656	0.041038329			434	0.02562486	0.02668924
435	0.03627293		435	-0.0033874	0.02093354	0.040876218			435	0.02364706	0.02471144
436	0.03346514		436	-0.00402008	0.02030086	0.039640805			436	0.02224385	0.02330823
437	0.03450025		437	-0.00278281	0.02153813	0.042056781			437	0.02490885	0.02597323
438	0.03214677		438	-0.00408363	0.02023731	0.039516714			438	0.02226858	0.02333296
439	0.03180199		439	-0.0043155	0.02000544	0.039063949			439	0.02266829	0.02373267
440	0.0312056		440	-0.0044064	0.01991454	0.038886451			440	0.02263439	0.02369877
441	0.03156683		441	-0.00431006	0.02001088	0.039074571			441	0.02332955	0.02439393
442	0.0286093		442	-0.00331648	0.02100446	0.041014701			442	0.02371414	0.02477852
443	0.02884188		443	-0.00564014	0.0186808	0.036477369			443	0.02277264	0.02383702
444	0.02528876		444	-0.00497104	0.0193499	0.037783898			444	0.0219847	0.02304908
445	0.02753918		445	-0.00505665	0.01926429	0.03761673			445	0.02134556	0.02240994
446	0.02598		446	-0.00502227	0.01929867	0.037683863			446	0.02154753	0.02261191
447	0.02592822		447	-0.00588174	0.0184392	0.036005605			447	0.02302339	0.02408777
448	0.02458257		448	-0.0066354	0.01768554	0.034533958			448	0.02042112	0.0214855
449	0.02225006		449	-0.0043778	0.01994314	0.038942298			449	0.02313846	0.02420284
450	0.02487987		450	-0.00501896	0.01930198	0.037690326			450	0.01853879	0.01960317
451	0.0234297		451	-0.00631641	0.01800453	0.035156839			451	0.02106486	0.02212924
452	0.02154001		452	-0.00587259	0.01844835	0.036023472			452	0.02003067	0.02109505
453	0.02292446		453	-0.00541202	0.01890892	0.036922811			453	0.02152414	0.02258852
454	0.02231985		454	-0.00524562	0.01907532	0.037247735			454	0.020575	0.02163938
455	0.02064866		455	-0.00601519	0.01830575	0.035745021			455	0.02065843	0.02172281
456	0.02150683		456	-0.0063008	0.01802014	0.03518732			456	0.01949696	0.02056134
457	0.02047145		457	-0.00559585	0.01872509	0.036563852			457	0.01979666	0.02086104
458	0.02167569		458	-0.00563226	0.01868868	0.036492756			458	0.01997744	0.02104182
459	0.02006918		459	-0.00592152	0.01839942	0.035927928			459	0.02132398	0.02238836
460	0.02186872		460	-0.0051599	0.01916104	0.037415117			460	0.02195759	0.02302197
461	0.02187879		461	-0.00551292	0.01880802	0.036725787			461	0.02084284	0.02190722
462	0.02012537		462	-0.00601362	0.01830732	0.035748087			462	0.01998324	0.02104762
463	0.02087326		463	-0.00541375	0.01890719	0.036919433			463	0.02056673	0.02163111
464	0.02152912		464	-0.00562663	0.01869431	0.036503749			464	0.02010565	0.02117003
465	0.02170735		465	-0.00502174	0.0192992	0.037684898			465	0.0198859	0.02095028
466	0.02109025		466	-0.0052246	0.01909634	0.03728878			466	0.02002425	0.02108863
467	0.02057639		467	-0.00490922	0.01941172	0.037904612			467	0.02022457	0.02128895
468	0.01997966		468	-0.00527721	0.01904373	0.03718605			468	0.01997422	0.0210386
